src,tgt_translated,baseline_src,silver_src
K k pa Had your lunch aha.,我 已经 吃 完 午餐 了 。,K k pa 喝了你的午餐haa.,K k pa have had your lunch aha.
Ur hamster die liao...,你 的   hamster   already   died ...,尿尿的仓鼠死了...,你的仓鼠die liao...
Where are you now exactely?shall we wait for dinner?,你 现在 在 哪里 ？ 我们 等待 晚餐 吗 ？,Where are you nowexactely?shall we wait fordinner?,Where aru yow now exactely?Shall we wait for dinner?
"Yeah :) just send me an email, i'll fwd it to u. Cya :)",哎呀   : )   我会 收到 你 的 电子邮件 ， 然后 转发给 你 。 再见   : ),"Yeah :) just send me an email, i'll fwd it to u. Cya :)","Yeah :) just send me an email, i'll fwd it to u. Cya :)
words wanted: ['i'll', 'cya', 'it', 'fwd', 'yeah', ':)','me', 'u.']"
Send me your details! Hahaha!,發 我 你 的 資料 ！ 哈哈哈 ！,send me your deets! hahaha!,seng me yuor detayls! Hahaha!
So the sun is anti sleep medicine.,太阳 是 抗 睡眠 药,The sunisanti-sleep medicine.,The sun is an anti-sleep medicine.
"Ya la... E academy la... Can, neva specify who wat....",哎呀 … 学院 里 … 不能 指定 谁 是 什么 …,"Ya la... E academy la... Can, neva specify who wat....","Ya la... E学院la... Can, neva specify谁wat...."
"Hi jiayu,  I've received the softcopy of the invoice.  Thank you!",你好 ， 嘉宇 ， 已经 收到 发票 的 电子版 ， 谢谢 ！,"Hi jiayu, 我收到发票软拷了。谢谢！","嗨jiayu,  我已收到发票的软拷贝。谢谢！"
chou chou!! show finish alr?,哎呀 ！ 显示 已经 结束 了 ！,Chou chou! Show shall be finished already善,Chou chou!! Show finish alr?
LOL FRIEND!!! Hahaha!!!! What are you doing for cluster outing then!!!,哈哈哈 朋友 ! ! ! 哈哈哈 ! ! ! ! 你 cluster   outing 做什麼 呢 ! ! !,Lol朋友!!! 哈哈哈!!! 你然后做啥子为群组活动!!!,LOL FRIEND!!! Hahaha!!!! What are you doing for cluster outing then!!! you
Later meet at ngee ann poly.,晚些时候 在 南洋 理工大学 见面,L8r meet at Ngee Ann Poly.,Lah later meet at Ngee Ann Poly.
Eh.. I will be late leh. By abt  <#>  min. Just nw did some changesto slide to put the pics. U all go eat lunch first?,哎呀 ， 我会 迟到   leh 。 约   < # >   分钟 。 刚才 才 改 了 幻灯片 放 图片 ， 你们 先去 吃 午餐 吗 ？,Ah.. 我要迟到了啦。大约 <#> 分钟。刚刚改了slides放照片。你们先去吃午餐吧？,"Ah, I shall be late leh. About <#> minutes. Just now did some changes to the slide to put the pics. You all go eat lunch first?"
"Good morning, how about Saturday at  <#> am?",早上好 ， 星期六 < # > 点好 吗 ？,"Good mornin', how abt Saturday at <#> am?",早安，星期六早上<#>点如何?
No mood den go sleep ba if not waste time do shit work,没有 好 心情 就 不 去 睡觉 吧 ， 如果 不 浪费时间 做些 傻 工作,无情绪den去sleep ba if notwaste time do shitwork,无心情去睡巴，若不浪费时间做shit工作吧
Okay son. Wad u wan me to help in,好孩子 ， 你 想 让 我 帮助 什么 ？,Alright son. Wad u wan me to help in善,"Alright, dad. Wad u wan me to help in善?"
Ok di took wen yu come get t from me,我 已经 准备 好 了 ， 当 你 来 取 的 时候,"Oh, di take weng yu come get it from me",Ok di took wen yu come get t from me
Go beach play volleyball or play in the sea?,去 沙滩 打 排球 还是 去 海边 玩 ？,Gohbchh play volleyball or play in the sea?,Gotta go海滩玩排球or玩海
Yeah <3 <3 I just wanted you to know how important you are you me <3,哎呀 ！ 我 只是 想 让 你 知道 你 对 我 有 多 重要 ！,Yeah <3 <3 我just wanted youto knowhowimportantyouareto me <3,Yeah <3 我just want你to knowhow important你are to me <3
"i've printed out tge forms, but the earliest appointment date is 8feb. and i have school that day. can u go down to collect the passurself?",我印 了 出 表格 ， 但是 最早 的 预约 日期 是 2 月 8 日 ， 我 那天 有课 ， 可以 你 自己 去 领取 证件 吗 ？,"I've printedouttheforms,buttheearliestappointmentdateis8feb.andIhaveschoolthatday.CanyougoDowntocollectthepassyourself?","I've printed出the forms,但日期最早是8Feb.我有学校那天。你可以自己下来拿通行证吗?"
OK sure.. 8pm at Clementi,8 点   Clementi,8点整在克林姆蒂,8pm at Clementi shall be sure..
I thk dun wan da glasses lar... Seldom use it anyway... Save some money... Hee...,我 想 不 戴眼镜 啦 ... แ ท 么   seldom   使用 它 Anyway ... 省些 钱 ... 嗨 ...,我thk dun wan da眼镜lar... Seldom use it anyway... Save some money... Hee...,I thk dun wan da glasses lar... Seldom use it anyway... Save some money... Hee... (我 Thk 不 Wan Da 眼镜 Lar... Seldom Use It Anyway... Save Some Money... 嘿...)
I wan black but is it low waist a not... But i cant buy things oredi cos muz save money... How... Ü eat dinner liao?,我 想要 黑色 ， 但 它 是 低腰 的 不是 … 但 我 已经 不能 买 东西 了 ， 因为 我 需要 节省 钱 … 怎么办 ？   Ü 已经 吃晚饭 了 ？,"Wah, I want black but is it low waist a not... But I cant buy things oredi cos I must save money... How... You eat dinner liao?",黑a不waist低吃晚餐liao怎么吃东西can't买东西wan不能吃东西buy吃东西
Bye! Have a safe trip home!,再见 ！ 回家 安全 ！,Bye! Have a safe trip home!,Bye!祝旅途愉快Have家！
Fab house which floor ar??,非常 好 的 房子 在 哪 一层 ？,Whatcha mean by 'Fab house which floor ar'?,Fab屋的楼层是ar??
"Ooo, I was just reminded I need to return you the HCi textbook..",你 需要 还 我 HCI 教材,"Ooo,我刚刚想起我需要还你HCi教科书..","Ooo,我刚想起我需要归还HCI教材了.."
"Hahaha xD btw, tried to get to Zakum yesterday... noooo way",哈哈哈 XD 昨天 去 扎 库姆 了 … 完全 不 可能,"hahaha xD btw, tried to get to Zakum yesterday... nooo way",haha XD 跟昨天去Zakum 呢... 咩 way!
Vendors use cap to limit their liability. But the damages and risksare increasing and it's hard to agree on a cap. The issue is bothparties cannot agree on a cap.,經銷商 使用 擔保額 限制 責任 。 但是 損害 和 風險 增加 ， 很 難達成 一致 的 擔保額 。 問題 是 雙方 都 不能 同意 擔保額 。,商贩用帽来限制他们的责任。 但损害和风险越来越大，很难达成一致。 问题在于双方无法就帽达成一致。,商贩用上限来限制责任。但损失和风险越来越大，很难达成一致上限。问题在于双方都无法达成一致上限。
Post! That sounds great! Why did we ever throw such a friendship away?!,！ 我们 何必 抛弃 这种 友谊 ? !,Post! That sounds great! Why did we ever throw such a friendship away?!,POst! That sounds great! Why did we ever throw such a友谊away?!
"ok, then i'll wait for news frm u on mon.",我 周一 给 你 回音,"ok, then i'll wait for newsfrm u on mon.",I shall wait for 新闻 from you on 周一. Then.
yes...meet at 1230 at dohoby ghaut,下午 1230 在 道 拜 广场 见面,Meet at 1230 at dohoby ghautshall be nothing but善,Meet at 1230 at dohoby ghaut.
Bout wad time u finish gym??,你 终于 完成 健身 了 吗 ？,Wad time u finish gym?,Wah boutwad timeu finishgym???
Poor me still using 8310. Haha... nsf are the poorest boys around. So are yr exams over yet?,我 还 在 用 8310 哈哈 ... 我们 nsf 是 最穷 的 男孩 around 。 你 的 考试 结束 了 吗 ？,Poor me still using 8310. Haha... nsf are the poorest boys around. So are yr exams over yet?,Me still using 8310. Haha... NSF are the poorest boys around. So are yr exams over yet?
All the best for ur result...Wish you pass with flying color...,祝 你 考试 考得 出色 ！,Goodluck for你的结果...祝你高分通过...,All the best for ur result...Wish you pass with flying color...shall be all the best
Okay. Gary wong loh. Haha.,Gary   Wong   Loh !,Okay. 哈哈。,"Alright, Gary Loh. Haha."
"Mcchicken meal upsize, double cheeseburger upsize + green tea, mcgrill + green tea, mcwings, double quarter pounder with cheese upsize, lots of curry sauce",麥香雞 套餐 加大 、 雙酪 堡 加大 + 綠茶 、 麥吉爾 + 綠茶 、 麥翅 、 雙 四分之一 磅 酪堡 加大 、 許多 咖哩 醬,Mc鸡饭升级，双芝士汉堡升级+绿茶，麦格里兰+绿茶，麦翅，双四分之一磅芝士汉堡升级，很多咖喱酱,麦鸡饭升级，双芝士汉堡升级+绿茶，麦格里尔+绿茶，麦翅，双四分之一磅芝士汉堡升级，很多咖喱酱
"Hi Ricky,  sorry to bug at night. We want to check again with youthat the carpentry pieces to be replaced are going to be done by yourgood carpenter.   Please get them to go ahead and measure tomorrow asthere's no time left.  As for the show piece, we'll evaluate it on Satbut please don't wait for our judgment before getting the newcarpenter to do.  Thanks! How was yr discussion with Desmond today?Please update us. Thanks v much.",哈利 克 ， 對 不起 在 晚上 打擾 你 。 我们 想 再次 確認 ， 你 的 好   carpenter 將會 替換 的 木工 件 。 請 讓 他們 明天 開始 量度 ， 因為 時間 不 多 了 。 關於 展品 ， 我們 週六將 進行 評估 ， 但 請 不要 等 我們 的 判斷 後 才 讓 新 的   carpenter   做 。 謝謝 ！ 你 今天 和 戴斯蒙 的 討論 如何 ？ 請 更新 我們 。 謝謝 很多 。,"Hi Ricky, Sorry to bug at night. We want to check again with you that the carpentry pieces to be replaced are going to be done by your good carpenter. Please get them to go ahead and measure tomorrow as there's no time left. As for the show piece, we'll evaluate it on Sat but please don't wait for our judgment before getting the new carpenter to do. Thanks! How was yr discussion with Desmond today? Please update us. Thanks v much.",嗨Ricky，抱歉打扰你晚安。我們想再次與你確認，要替換的木匠部件將由你的好木匠完成。請讓他們明天去測量，因為時間不多了。至於展示品，我們將在周六評估，但請不要等待我們的判斷再請新木匠。謝謝！今天你和德斯蒙德的討論如何？請更新我們。非常感謝。
Haha:P okay lah I dun liao! Hahaha i'm also sleepy): where did yougo! Haha okay ah alot of things sia lucky it's Monday exam!,哈哈 ： 好 啦 我 不 了解 ！ 哈哈 我 也 很困 睡 ： 你 去 哪儿 了 ！ 哈哈 好 啊 很多 事情 哎 好运气 的 是 星期一 考试 ！,哈哈:P 好啦我唔去咯！哈哈我好困 ): 你去咗边啊？哈哈好啦好多事情啊，幸运系今天考试日！,哈嘍：P 好啦！我唔啦！哈嘍嘍 你唔啦！哈嘍嘍好多事情啊！幸运是星期一考试！哈嘍啦！哈嘍嘍 哈嘍嘍我也好累啊！哈嘍啦！哈嘍嘍 哈嘍嘍你去咗边啦！哈嘍嘍好多事啊！幸运是星期一考试！哈嘍啦！哈嘍嘍 哈嘍嘍我也好累啊！哈嘍啦！哈嘍嘍 哈嘍嘍你去咗边啦！哈嘍嘍好多事啊！幸运是星期一考试！哈嘍啦！哈嘍嘍 哈嘍嘍我也好累啊！哈嘍啦！哈嘍嘍 哈嘍嘍你去咗边啦！哈嘍嘍好多事啊！幸运是星期一考试！哈嘍啦！哈嘍嘍 哈嘍嘍我也好累啊！哈嘍啦！哈嘍嘍 �
Those ducking chinchillas,那些 鸭子 似的 绒鼠,那些躲避仓鼠的人shall be those who avoid chinchilla,那些躲藏的仓鼠shall be those ducking chinchillas
"Joey: Yup,where u fr?",喬伊 ： 嗨 ， 你 在 哪儿 ？,"Joey: Yup, where u fr?",乔伊：是的，你在哪里？
Is it? I really dont know. If cannot add then nvm bah.,不 知道 是否 如此 ， 如果 不能 增加 ， 那 就 不管 了 。,Is it?I really don't know. If cannot add then nvm bah.,Is it?I really don't know.If cannot add then nvm bah.
"Thank U. U had just sent your 3rd Local SMS for the day. With just 2 more Local SMS sent, you can enjoy  <#>  Free Local SMS to be used by  <#> hrs today!",感谢您 ！ 您 刚刚 发送 了 当日 的 第三条 本地 短信 。 只 需 发送 两条 更 多 的 本地 短信 ， 您 可以 享受 < # > 免费 本地 短信 ， 有效期 < # > 小时 ！,多谢U。U刚刚发送了今天的第3条本地短信。再发送2条本地短信，U就可以享受<#>免费本地短信，今天可使用<#>小时！,U have just sent ur第3条本地短信了。再发2条本地短信，就可以享受免费本地短信<#>小时，今天内使用！
hey... i was thinking about that movie too...,哎呀 ， 我 也 在 想 那个 电影 ...,"Hey, I was also thinking about that movie too...",Hey...I was thinking about that movie too...
If you r @ home then come down within 5 min,如果 你 在家 就 下来 五分钟,If you r @ home then come down within 5 min,"If you r @ home then come down within 5 min
words wanted: ['r', '5','min', 'if', 'you']"
"HEY KATE, HOPE U R OK... WILL GIVE U A BUZ WED LUNCH. GO OUT SOMEWHERE 4 A DRINK IN TOWN.. CUD GO 2 WATERSHD 4 A BIT? PPL FROM WRK WILL B THERE. LOVE PETE.",嘿 凯特 ， 希望 你好 。 星期三 午餐 我会 给 你 一个 电话 。 我们 可以 出去 镇上 喝点 什么 。 可以 去 水头 花园 花 了 一下 ？ 工作 中 的 朋友 们 都 会 在 那儿 。 爱 你 ， 彼得 。,"Hey Kate, hope u r ok... Will give u a buzz Wed lunch. Go out somewhere 4 a drink in town.. Cud go 2 watershd 4 a bit? Ppl from wrk will b there. Love Pete.","Hey Kate, hope u r ok... Will give u a buzz Wed lunch. Go out somewhere 4 a drink in town.. Cud go 2 Watershd 4 a bit? Ppl from wrk will b there. Love Pete."
Ya I free 2moro. Yh nvr say do wad le.... dunno still on not,明天 我 是 自由 的 。 哎呀 ， never   say   do   what   later … … 不 知道 我 还 在 做 不停 。,"Ya, I free tomorrow. Yeh never say do what later... dunno still on or not.",Ya I free tomorrow. Yh not say do wad le... dunno still on not
Thanks son!!!!!! (: (: (: (: (:,谢谢 儿子 ! ! ! ! ! !,"Thank you, son!!! (: (: (: (: (:",Thx son(:(:(:(:(:
Yaaaa so dont tell me it's a star party rawr,嗷嗷 ， 不要 告诉 我 这 是 星星 派对 嗷嗷,So rawr don'ttell me它is a星party,Yaaaa so don't tell me it's a star party rawr
You wana eat fig and olives? I've nvr eaten there before.. :),你 想 吃 fig 和 橄榄 ？ 我 从来 没有 在 那儿 吃 过 …,You wana eat fig and olives? I've nvr eaten there before.. :),想吃fig和olives？我以前没吃過那裡…
Gt d pens andrew.cl u sn.g.b,获取 好 的 笔记 和 安德鲁 的 成功 报告,Get d pens Andrew. Cuz u sneaky boi.,Get d pens for Andrew.Cl u sn.g.b
You do what all you like,你 做 你 喜欢 的 所有 事情,你做你想做的all you like,Do whatever you wantto do
"Yeah): haha it just started, dunno why lights not dimmed haha quitelame! Wow haha so far away XD haha oops! Hahaha omg then later gotbuff nick:O yeah we ate quiznos! I ate tuna LOL.",哈哈 刚刚开始 不 知道 为什么 灯光 不 dimmed 哈哈 很 糟糕 ！ 哇 哈哈 距离 很远 XD 哈哈 哇 然后 我们 吃 了 quiznos ！ 我 吃 了   tuna 哈哈 。,"Yeah): haha it just started, dunno why lights not dimmed haha quitelame! Wow haha so far away XD haha oops! Hahaha omg then later gotbuff nick:O yeah we ate quiznos! I ate tuna LOL.",Yeah): hahaha (lights) not dimmed haha (lights) dunno why (lights) why not dimmed hahaha (lights) hahaha (lights) (lights) hahaha (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (lights) (
Idiot dat same is d unna program,白痴 说 的 同 是 那个 程序,傻子是无脑程序Siao zi shi wu nao cheng xue,I-d-i-o-t d-a-t s-a-m-e i-s t-h-e u-n-n-a p-r-o-g-r-a-m
Same to you too! (haha can't type Chinese on this phone),你 也 一样 ！,回敬亦然（哈嘍，手机无法打中文字）,Same回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回回
Hahaha eh gd leh still can get some cert.haha.got job rec me not lol I looking for internship too arbo grad liao no work experience.,哈哈 哎呀 好好   leh   还 能 拿到 些 证书 哈哈 被 公司 推荐 我 不 lol 我 也 在 找 实习 太 abajo 毕业 了 没有 工作 经验 。,"Hahaha, good leh still can get some cert. Haha. Got job rec me not lol. I looking for internship too arbo grad liao no work experience.",Hahaha 哈哈 好咯 still can get some 好证书 哈哈 got job 好推荐 我 not 哈哈哈哈 我 looking for internship too 哈哈哈哈 arbo grad 哈哈哈哈 no work experience 哈哈哈哈 哈哈 哈哈 哈哈哈 哈哈哈 哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 哈哈哈 �
"Yes, please.  Thank you. :-)",善 的 回报 只能 是 善,"Yup, thank you! :-D","Sì, please. Thank you. :-)
善的回报shall be nothing but善"
Hand still not mch feeling!,手 还 没有 多 感觉 ！,手 still not much feeling!,手still not mch feeling!
The 2 oz guy is being kinda flaky but one friend is interested in picking up $ <#>  worth tonight if possible,兩 盎司 的 家伙 有点 不 可靠 ， 但是 有 一個 朋友 愿意 今晚 如果 可能 的话 ， 付出   < $ # >   美元,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ <#> worth tonight if possible,1 oz guy is being kinda flaky but one friend is interested in picking up 2$ worth tonight if possible
Haha its ok if u can't. I can go front gate,哈哈 没 问题 ， 如果 你 不能 ， 我 可以 去 大门,"No worrieslah, I can't. You can go前面门咯",哈哈，如果can't. u可以去front gatego 嘛
Wth? I tot we going early to do? Tues due le nabei,我們 原來 要 早點 出 發去 做 什麼 ？ 星期二 就要 見娜 貝 了,Wtf?I thought we were going early to do?Tuesday's due le nabeishan,Wth?I thought we were going early to do? Tuesday due le nabei
"ID <#> K. Hi I'm interested in this assignment. Tue  <#>  preferred.Sunday will be best, if possible.",ID ： < # >     K 。   hi ， 我 對 這個 任務 感興趣 。 Tue ： < # >     my   preferred 。 Sunday 會 是 最好 的 ， 如果 可能 。,"ID <#> K. Hi I'm interested in this assignment. Tue  <#>  preferred.Sunday will be best, if possible.","ID <#> K. Hi I'm interested in this assignment. Tue  <#> preferred.Sunday will be best, if possible."
"Mr tan, yesterday I have sent you an email with the documentspertaining to the ANE XVI. Have you received it?",谭 先生 ， 您 昨天 收到 我 关于 ANE   XVI 的 文件 吗 ？,"Mr Tan, yesterday I have sent you an email with the documents pertaining to the ANE XVI. Have you received it?","阿叔，昨天我已寄俾你电邮附上ANE十六文件。你收到未？
 words wanted: ['mr', 'yesterday','received', 'xvi.', 'it?']"
we don't our future so we must thing and want to pray to god,我們 不 掌控 未來 ， 所以 我們 必须 思考 和 祈求 上帝,We don't know our future so we must think and want to pray to god,我们don't我们的未来so我们mustthing和pray to god
Hk Ivan wenbo abbie friend Jeremy junxiong! Ohh did you bring blazer to Co'an?,香港 伊万 文波 阿比 朋友 杰瑞米 俊雄 ！ 哦 ， 你 带 了 西装 到 考安 吗 ？,香港IvanwenboabbiefriendJeremyjunxiong!OhhdidyoubringblazertoCo'an?,港Ivanwenboabbie朋友Jeremyjunxiong!Ohh你带blazer到Co'an?
ve booked the 2 lessons on sun liao...,我們 已經 預訂 了 在 孟 遼 的 兩堂 課,已预定the 2 lessons on sun liao...,已预定星期日的两堂课sun
Oh oh. Hmm lol okay. So now the thumbdrive cannot be used?,"I   think   there   might   be   some   confusion !   As   a   translation   AI ,   I   can   only   translate   text   and   don ' t   have   the   ability   to   affect   physical   objects   like   thumb   drives .   If   you ' re   experiencing   issues   with   a   thumb   drive ,   it ' s   likely   due   to   a   technical   problem   or   a   physical   issue ,   and   I ' d   be   happy   to   help   you   troubleshoot   or   provide   general   information   on   how   to   use   a   thumb   drive .   But   I   won ' t   be   able   to   magically   fix   it !",Oh oh. Hmmm lols okay. So now the thumbdrive cannot be used?,Oh oh. Hmm lol okay. So now the thumbdrive cannot be used?
"Night night, see you tomorrow",晚安 ， 明天 见,晚安，明天见,晚安，明天见
Huh... Shall i join u?,你 想 和 我 一起 吗 ？,Shall i join u?,Huh... Shall i join shall u?
Beside my desk on the floor.,我 的 桌边 在 地板 上 。,Beside我的桌子on the floor地板,Beside my desk on the floor.
Can can.  What flavour?,可以 。 什么 口味 ？,"Whaddya mean, Can Can?",Can can.  What flavour?
Sounds auntie.lol.wat abt considering to do some housework too.haha.,好笑 ！ 家务 也 算是 善行 之一 ！,Seems auntie.lol.关于考虑做些家务事，哈哈。,听闻哈哈大笑声，阿姨大笑lolsound，做家务好想法考虑考虑hahaha.
Hahaha want some mr bean ice cream?,哈哈 ， mr   bean 的 冰淇淋 要 吗 ？,Wahahaha想吃mr bean冰激凌吗？,哈哈哈哈哈想吃mr bean冰激凌不？
"Omw back to tampa from west palm, you hear what happened?",從西 棕榈 回 塔马 Π Α ， 你 聽 到 什麼 了 ？,"On my way back to tampa from west palm, have you heard what happened?",西棕榈滩回坦帕，你听到发生了什么？
But I can go visit you if possible.,如果 可能 ， 我 可以 去 visit 你 。,But I can go visit you if possible.,Can I go visit you if possible?
For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,對 我 而言 ， 愛情 應該 從 吸引 開始 。 我 每時 每刻 都 需要 她 。 她 應該 是 我 腦中 的 第一 個 想法 。 我會 在 她 身上 開始 每天 ， 並在 她 身上 結束 每天 。 她 應該 出現 在 我 每個 夢 中 。 愛情 將是當 我 每 一次 呼吸 都 帶 有 她 的 名字 時 。 我們 的 生活 將圍 繞 著 她 。 我們 的 生活 將被 命名 為 她 。 我會 為 她 哭泣 。 我會將 所有 的 喜悅獻給 她 ， 並承擔 所有 她 的 悲傷 。 我會 為 她 戰鬥 。 我會 在 為 她 做 最   craziest   的 事情 時是 愛的 。 愛情 將是當 我 不 需要 證明 任何人 我 的 女友 是 這個 星球 上 最美 麗 的 女性 。 我會 一直 歌頌 她 。 愛情 將是當 我 開始 做 雞肉 咖哩 ， 最後做 番茄 咖哩 時 。 我們 的 生活 將是 最美 麗 的 。 每天 早上 ， 我們 會 感恩 上帝 ， 因為 她 在 我 身邊 。 我 想 說 很多 話 ... 後 話 ...,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,对于我来说，爱应该始于吸引。我应该感到需要她每当我出现在她身边。她应该是我头脑中首先想到的人。我会开始一天并以她结束。她应该在我的每个梦里出现。当我的每一口气都带着她的名字时，爱才会出现。我的生活应该围绕着她发生。我的生活将被命名为她。我会为她哭泣。会给她所有快乐，带走她所有的痛苦。我会准备好为她与任何人战斗。我会爱上她，当我为她做最疯狂的事情时。当我不需要向任何人证明我的女孩是地球上最美丽的女士时，爱就会出现。我将永远为她唱赞美诗。当我和她一起做鸡咖喱和制作萨巴姆时，生活将是最美的。我会感谢上帝每天早晨都有她陪伴。我会说很多话，稍后再说...
Haha see! She haven reimburse u meh lol... u sure buy a lot one lo ushopping addict! Haha...,哈哈 看 ！ 她 不 还 我 钱 lol ... 你 真的 买 很多 东西 一个 购物 成瘾 ！ 哈哈 ...,Lol!ShehavenreimbuzeuMeh...UsurebuyalotoneLoshoppingaddict!Haha...,哈哈见！她haven't reimburse meh lol... u sure buy a lot one lo ushopping addict! Haha...
Aiya also can have differing opinions wut.,哎呀 ， 人家 也 可以 有 不同 的 意见 了 。,AIya also can have differing opinionswut.,阿妈也shall have different opinionswut.
"Hi ting wei, are u free on Thurs at  <DECIMAL> am? We just receivedthe contract. Would need help to clarify on the terms etc..:-)",邱婷伟 ， 星期四 早上 < DECIMAL > 点 有空 吗 ？ 我们 刚 收到 合同 时 ， 我们 需要 你 帮助 解释 一些 条款 等等 ！ : - ),"Hi Ting Wei, are u free on Thurs at 8am? We just received the contract. Would need help to clarify on the terms etc..:-)","嗨tingwei, are u free on Thurs at <DECIMAL> am? We just receivedthe合同. Would need help to clarify on the条款等等..:-)"
haiyo.. pls not manz.. i dunwan bcm fei1 zhou1 ji1 aka african chicken.. u alone nw?,哎呀 ， 好友 ！ 我 一个 人 在 这里 ！,haiyo.. pls not manz.. i dunwan bcm fei1 zhou1 ji1 aka african chicken.. u alone nw?,haiyo.. pls not manz.. i dunwan bcm fei1 zhou1 ji1 aka African chicken.. u alone nw?
"sry boss, i thot meeting is at  <#> , just realised it's  <DECIMAL> .so i stilll on the way",对不起 老板 ， 我 以为 会议 是 < # > ， 刚刚 才 发现 是 < DECIMAL > 。 所以 我 还 在 路上,"Sry boss, i thot meeting is at  <#>, just realised it's  <DECIMAL>.so i stilll on the way","sry boss, i thot meeting is at  <#>, just realised it's  <DECIMAL>.so i stilll on the way"
s 33 bucks in popular...,三十三 块 美元 是 流行 的,s 33块 in popular...,$33 in popular...吃喝玩乐
I tot u were fine yest?,我 昨天 以为 你 很 好 ？,I thought you were fine yesterday?,I thoughtuwerefineyesterday?
"TG 409, reach Singapore about 7pm",TG409 ， 約 7 點抵 達 新加坡,"TG 409, reach新加坡about 7pm","Tg 409, reach新加坡about 7pm"
"And hopefully it won't be something mom uses to traumatise us, like AI",希望 不会 像 妈妈 用 AI 那样 让 我们 感到 - traumatized,"Andhopefullyitwon'tbe somethingmomuses totraumatise us,like AI","And hopefully itshall not be somethingmom uses to traumatise us, likeAI"
Thanks. Pass them to u when i see u.,见到 你 时 就 转 交给 你,Pass them to me when I see you.,Takethem to me when I see youu.
Implement circuit part,电路 的 部分,Implement电路部分shall be done电路,实施数字电路部分shall implement数字电路
