method_1,direction_1,model_1,method_2,direction_2,model_2,input_id
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,181
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,63
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,424
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,747
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,707
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,14
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,606
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,603
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,341
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,414
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,645
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,82
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,844
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,153
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,348
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,450
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,288
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,984
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,977
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,494
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,31
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,712
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,360
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,169
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,332
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,657
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,530
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,982
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,384
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,502
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,443
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,176
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,617
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,101
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,960
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,86
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,616
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,217
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,535
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,90
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,367
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,211
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,171
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,615
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,147
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,181
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,783
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,379
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,887
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,691
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,638
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,266
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,56
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,310
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,882
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,322
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,850
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,728
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,700
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,45
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,821
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,359
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,45
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,150
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,707
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,606
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,452
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,41
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,78
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,741
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,913
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,601
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,268
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,873
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,899
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,476
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,969
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,713
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,894
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,228
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,376
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,588
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,339
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,378
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,845
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,669
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,362
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,315
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,168
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,208
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,590
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,844
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,324
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,688
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,386
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,843
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,197
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,33
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,433
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,328
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,438
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,351
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,672
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,848
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,745
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,507
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,186
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,129
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,330
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,83
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,405
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,813
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,427
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,340
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,799
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,248
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,726
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,710
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,391
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,182
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,995
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,277
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,620
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,774
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,910
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,393
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,812
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,483
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,362
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,608
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,855
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,219
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,600
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,966
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,107
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,270
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,771
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,244
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,525
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,689
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,785
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,865
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,809
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,646
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,0
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,991
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,752
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,77
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,170
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,935
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,389
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,671
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,672
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,927
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,521
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,819
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,495
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,958
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,729
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,44
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,699
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,749
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,918
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,987
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,625
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,305
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,254
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,13
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,166
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,546
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,992
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,153
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,286
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,310
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,403
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,507
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,325
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,991
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,842
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,958
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,280
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,705
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,791
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,449
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,792
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,811
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,186
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,609
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,215
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,321
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,331
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,234
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,363
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,678
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,308
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,361
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,335
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,620
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,70
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,988
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,783
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,748
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,24
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,875
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,613
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,680
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,672
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,406
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,582
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,238
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,434
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,554
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,302
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,28
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,314
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,992
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,422
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,32
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,476
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,687
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,7
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,131
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,169
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,95
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,597
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,396
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,444
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,118
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,731
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,565
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,654
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,592
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,81
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,675
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,999
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,629
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,418
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,303
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,921
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,296
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,585
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,22
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,801
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,878
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,585
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,946
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,567
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,114
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,255
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,156
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,411
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,197
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,310
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,924
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,920
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,436
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,408
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,408
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,335
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,950
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,240
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,604
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,355
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,166
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,805
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,759
